code,icao,ident,name,city,state,lat,lon,type,runways
MWC,KMWC,KMWC,Lawrence J Timmerman Airport,Milwaukee,WI,43.110401,-88.034401,small_airport,3.0
MVY,KMVY,KMVY,Martha's Vineyard Airport,Martha's Vineyard,MA,41.3931007385,-70.6143035889,small_airport,2.0
MVN,KMVN,KMVN,Mount Vernon Outland Airport,Mount Vernon,IL,38.322774,-88.859257,small_airport,2.0
MVL,KMVL,KMVL,Morrisville-Stowe State Airport,Morrisville,VT,44.534599,-72.613998,small_airport,1.0
MVE,KMVE,KMVE,Montevideo Chippewa County Airport,Montevideo,MN,44.969101,-95.710297,small_airport,1.0
MVC,KMVC,KMVC,Monroe County Aeroplex Airport,Monroeville,AL,31.458,-87.350996,small_airport,1.0
MXO,KMXO,KMXO,Monticello Regional Airport,Monticello,IA,42.220402,-91.1633,small_airport,1.0
MUT,KMUT,KMUT,Muscatine Municipal Airport,Muscatine,IA,41.367803,-91.148201,small_airport,2.0
MTW,KMTW,KMTW,Manitowoc County Airport,Manitowoc,WI,44.127116,-87.681983,small_airport,2.0
MTP,KMTP,KMTP,Montauk Airport,Montauk,NY,41.0765,-71.920797,small_airport,1.0
MTO,KMTO,KMTO,Coles County Memorial Airport,Mattoon,IL,39.477901,-88.279198,small_airport,2.0
MSV,KMSV,KMSV,Sullivan County International Airport,Monticello,NY,41.701596,-74.794997,small_airport,1.0
MRN,KMRN,KMRN,Foothills Regional Airport,Morganton,NC,35.820202,-81.611397,small_airport,1.0
MRF,KMRF,KMRF,Marfa Municipal Airport,Marfa,TX,30.369593,-104.015893,small_airport,2.0
MRC,KMRC,KMRC,Maury County Airport,Columbia/Mount Pleasant,TN,35.5541000366,-87.17890167239999,small_airport,1.0
MQW,KMQW,KMQW,Telfair Wheeler Airport,Mc Rae,GA,32.095798,-82.879997,small_airport,1.0
MUL,KMUL,KMUL,Spence Airport,Moultrie,GA,31.141569,-83.703718,small_airport,1.0
JDN,KJDN,KJDN,Jordan Airport,Jordan,MT,47.3288,-106.953003,small_airport,1.0
